PUNIT_NAME,PLOT,COUNT_PLOT,X,Y,TREE_N,CODE,RX,SPECIES,COUNT,DBH,BOLE_LENGTH,HT,TPA,BF_GROSS,BF_NET,PF
CROWNU3,1,N,-121.682994,47.490192,1,L,C,DF,1,17,80,101,21.32,205,205,33.61
CROWNU3,1,N,-121.682994,47.490192,2,L,C,DF,1,22,94,120,12.73,488,488,33.61
CROWNU3,1,N,-121.682994,47.490192,3,L,C,DF,1,24,99,127,10.7,630,630,33.61
CROWNU3,1,N,-121.682994,47.490192,4,L,C,DF,1,24,99,127,10.7,630,630,33.61
CROWNU3,1,N,-121.682994,47.490192,5,L,C,DF,1,20,89,113,15.41,362,362,33.61
CROWNU3,1,N,-121.682994,47.490192,6,L,C,DF,1,21,92,117,13.97,415,415,33.61
CROWNU3,1,N,-121.682994,47.490192,7,L,C,DF,1,20,89,113,15.41,362,362,33.61
CROWNU3,2,N,-121.682662,47.490622,1,L,C,WH,1,17,79,99,21.32,239,239,33.61
CROWNU3,2,N,-121.682662,47.490622,2,L,C,WH,1,11,60,73,50.93,63,63,33.61
CROWNU3,2,N,-121.682662,47.490622,3,L,C,WH,1,17,79,99,21.32,239,239,33.61
CROWNU3,2,N,-121.682662,47.490622,4,L,C,WH,1,19,84,106,17.07,329,329,33.61
CROWNU3,2,N,-121.682662,47.490622,5,L,C,WH,1,19,84,106,17.07,329,329,33.61
CROWNU3,2,N,-121.682662,47.490622,6,L,C,WH,1,11,60,73,50.93,63,63,33.61
CROWNU3,2,N,-121.682662,47.490622,7,L,C,WH,1,14,70,87,31.44,137,137,33.61
CROWNU3,2,N,-121.682662,47.490622,8,L,C,WH,1,13,67,83,36.46,132,132,33.61
CROWNU3,2,N,-121.682662,47.490622,9,L,C,WH,1,20,87,109,15.41,408,408,33.61
CROWNU3,3,N,-121.682689,47.489538,1,L,C,DF,1,18,83,105,19.02,239,239,33.61
CROWNU3,3,N,-121.682689,47.489538,2,L,C,DF,1,20,89,113,15.41,362,362,33.61
CROWNU3,3,N,-121.682689,47.489538,3,L,C,DF,1,23,97,124,11.65,557,557,33.61
CROWNU3,3,N,-121.682689,47.489538,4,L,C,DF,1,17,80,101,21.32,205,205,33.61
CROWNU3,3,N,-121.682689,47.489538,5,L,C,DF,1,18,83,105,19.02,239,239,33.61
CROWNU3,3,N,-121.682689,47.489538,6,L,C,DF,1,16,77,97,24.07,179,179,33.61
CROWNU3,3,N,-121.682689,47.489538,7,L,C,DF,1,19,86,109,17.07,290,290,33.61
CROWNU3,3,N,-121.682689,47.489538,8,L,C,DF,1,19,86,109,17.07,290,290,33.61
CROWNU3,3,N,-121.682689,47.489538,9,L,C,DF,1,17,80,101,21.32,205,205,33.61
CROWNU3,3,N,-121.682689,47.489538,10,L,C,DF,1,22,94,120,12.73,488,488,33.61
CROWNU3,4,N,-121.682357,47.489968,1,L,C,WH,1,21,89,112,13.97,455,455,33.61
CROWNU3,4,N,-121.682357,47.489968,2,L,C,WH,1,21,89,112,13.97,455,455,33.61
CROWNU3,4,N,-121.682357,47.489968,3,L,C,WH,1,19,84,106,17.07,329,329,33.61
CROWNU3,4,N,-121.682357,47.489968,4,L,C,WH,1,16,77,96,24.07,204,204,33.61
CROWNU3,4,N,-121.682357,47.489968,5,L,C,WH,1,16,77,96,24.07,204,204,33.61
CROWNU3,4,N,-121.682357,47.489968,6,L,C,DF,1,24,99,127,10.7,630,630,33.61
CROWNU3,4,N,-121.682357,47.489968,7,L,C,WH,1,20,87,109,15.41,408,408,33.61
CROWNU3,4,N,-121.682357,47.489968,8,L,C,DF,1,16,77,97,24.07,179,179,33.61
CROWNU3,4,N,-121.682357,47.489968,9,L,C,WH,1,15,74,92,27.39,176,176,33.61
CROWNU3,5,N,-121.682053,47.489314,1,L,C,DF,1,22,94,120,12.73,488,488,33.61
CROWNU3,5,N,-121.682053,47.489314,2,L,C,DF,1,16,77,97,24.07,179,179,33.61
CROWNU3,5,N,-121.682053,47.489314,3,L,C,DF,1,20,89,113,15.41,362,362,33.61
CROWNU3,5,N,-121.682053,47.489314,4,L,C,DF,1,21,92,117,13.97,415,415,33.61
CROWNU3,5,N,-121.682053,47.489314,5,L,C,DF,1,21,92,117,13.97,415,415,33.61
CROWNU3,5,N,-121.682053,47.489314,6,L,C,DF,1,18,83,105,19.02,239,239,33.61
CROWNU3,6,N,-121.680808,47.487782,1,L,C,RA,1,11,62,76,50.93,72,69,33.61
CROWNU3,6,N,-121.680808,47.487782,2,L,C,RA,1,10,58,71,61.62,65,62,33.61
CROWNU3,6,N,-121.680808,47.487782,3,L,C,RA,1,7,45,54,125.76,27,27,33.61
CROWNU3,6,N,-121.680808,47.487782,4,L,C,RA,1,7,45,54,125.76,27,27,33.61
CROWNU3,7,N,-121.679562,47.48625,1,L,C,DF,1,17,80,101,21.32,205,205,33.61
CROWNU3,7,N,-121.679562,47.48625,2,L,C,DF,1,18,83,105,19.02,239,239,33.61
CROWNU3,7,N,-121.679562,47.48625,3,L,C,DF,1,15,73,92,27.39,173,173,33.61
CROWNU3,7,N,-121.679562,47.48625,4,L,C,DF,1,21,92,117,13.97,415,415,33.61
CROWNU3,7,N,-121.679562,47.48625,5,L,C,DF,1,19,86,109,17.07,290,290,33.61
CROWNU3,7,N,-121.679562,47.48625,6,L,C,DF,1,17,80,101,21.32,205,205,33.61
CROWNU3,7,N,-121.679562,47.48625,7,L,C,DF,1,15,73,92,27.39,173,173,33.61
CROWNU3,8,N,-121.678926,47.486026,1,L,C,WH,1,14,70,87,31.44,137,137,33.61
CROWNU3,8,N,-121.678926,47.486026,2,L,C,DF,1,23,97,124,11.65,557,557,33.61
CROWNU3,8,N,-121.678926,47.486026,3,L,C,DF,1,22,94,120,12.73,488,488,33.61
CROWNU3,8,N,-121.678926,47.486026,4,L,C,DF,1,10,52,64,61.62,43,43,33.61
CROWNU3,8,N,-121.678926,47.486026,5,L,C,DF,1,20,89,113,15.41,362,362,33.61
CROWNU3,8,N,-121.678926,47.486026,6,L,C,DF,1,19,86,109,17.07,290,290,33.61
CROWNU3,8,N,-121.678926,47.486026,7,L,C,DF,1,20,89,113,15.41,362,362,33.61
CROWNU3,8,N,-121.678926,47.486026,8,L,C,DF,1,21,92,117,13.97,415,415,33.61
